symbol,date,open,high,low,close,volume
META,2025-05-12,630.92,640.3896,621.03,639.43,21965085
META,2025-05-13,645.545,660.92,642.83,656.03,18570821
META,2025-05-14,661.21,662.67,654.31,659.36,12348179
META,2025-05-15,654.275,657.31,638.58,643.88,14341835
META,2025-05-16,637.955,640.44,626.15,640.34,18518972
META,2025-05-19,628.25,643.0,627.8,640.43,9592374
META,2025-05-20,636.01,639.3536,632.26,637.1,6743473
META,2025-05-21,631.79,646.61,630.17,635.5,11464569
META,2025-05-22,634.05,643.25,630.71,636.57,8228443
META,2025-05-23,624.0,632.445,622.65,627.06,8454067
META,2025-05-27,635.41,643.08,632.75,642.32,9508367
META,2025-05-28,642.6,650.88,642.5472,643.58,9042874
META,2025-05-29,651.645,653.32,639.5,645.05,8883436
META,2025-05-30,642.5,649.4099,632.78,647.49,16240951
META,2025-06-02,644.39,673.26,644.2616,670.9,15766258
META,2025-06-03,671.445,675.58,665.03,666.85,11585031
META,2025-06-04,669.32,689.0,668.57,687.95,14031931
META,2025-06-05,691.66,694.38,682.25,684.62,13120335
META,2025-06-06,696.17,702.806,691.87,697.71,11727961
META,2025-06-09,698.46,705.19,693.94,694.06,12773221
META,2025-06-10,701.345,703.23,691.56,702.4,10850146
META,2025-06-11,703.705,708.8707,691.99,694.14,9582508
META,2025-06-12,693.3,695.38,687.0,693.36,7322730
META,2025-06-13,687.95,694.57,681.01,682.87,9274441
META,2025-06-16,699.33,707.15,693.5103,702.12,13720288
META,2025-06-17,702.0,705.97,696.06,697.23,10066110
META,2025-06-18,698.18,701.59,694.9,695.77,10068255
META,2025-06-20,700.75,701.8197,678.67,682.35,22538640
META,2025-06-23,683.69,699.05,678.75,698.53,11080055
META,2025-06-24,704.885,713.19,702.11,712.2,13823180
META,2025-06-25,713.315,716.58,705.38,708.68,9320436
META,2025-06-26,714.355,728.22,711.05,726.09,13964793
META,2025-06-27,726.515,735.43,725.86,733.63,18775735
META,2025-06-30,744.55,747.9,734.25,738.09,15402105
META,2025-07-01,736.875,737.7499,715.37,719.22,13431248
META,2025-07-02,715.325,720.3,712.8,713.57,9336740
META,2025-07-03,726.61,729.03,714.42,719.01,8601653
META,2025-07-07,717.6,727.0,713.51,718.35,9457080
META,2025-07-08,721.57,722.9099,714.81,720.67,7770693
META,2025-07-09,722.715,737.53,722.715,732.78,11417963
META,2025-07-10,731.55,735.7999,719.6,727.24,9922249
META,2025-07-11,722.495,725.16,709.7,717.51,10873880
